city_name,district,name,barangay,address
Manila,1,Delpan Sports Complex,20,"Delpan St, San Nicolas"
Manila,1,Rosauro Almario Elementary School,32,"1012 Kagitingan St, Tondo"
Manila,1,Antonio Villegas High School,100,"Roxas St, Tondo"
Manila,1,OVP Bldg. 1,101,"Zone 8, Rd 10, Tondo"
Manila,1,Vicente Lim Elementary School,101,"106 J.P. Rizal St, Tondo"
Manila,1,Bldg. 18 Covered Court,128,"Zone 10, Tondo"
Manila,2,Brgy. 200 - Multi-Purpose Hall,200,"Zone 18, Tondo"
Manila,2,Felipe G. Calderon Integrated School,201,"Hermosa St, Tondo"
Manila,2,Melchora Aquino Elementary School,204,"Solis St, Tondo"
Manila,2,Gen. Gregorio Del Pilar Elementary School,259,"Jose Abad Santos St, Tondo"
Manila,3,Coastal Area,275,"Zone 25, San Nicolas"
Manila,3,Pedro Guevarra Elementary School,285,"San Fernando St, Bindondo"
Manila,3,Antonio Regidor Elementary School,330,"Alonzo St, Santa Cruz"
Manila,3,Francisco Balagtas Elementary School,334,"Alvarez St, Santa Cruz"
Manila,4,Trinidad Tecson Elementary School,412,"Gen. Geronimo St, Sampaloc"
Manila,4,Dapitan Sports Complex,520,"Instruccion St, Sampaloc"
Manila,4,Legarda Elementary School,522,"Craig St, Sampaloc"
Manila,5,DWO V Office,683,"Sagat St, Paco"
Manila,5,Epifanio Delos Santos Elementary School,695,"Gen. Malvar St, Malate"
Manila,5,Aurora A. Quezon Elementary School,703,"San Andres St, Malate"
Manila,5,Rafael Palma Elementary School,739,"Zobel Roxas St, San Andres"
Manila,5,Fernando Ma. Guerrero Elementary School,812,"Pedro Gil St, Paco"
Manila,6,Brgy. 598 - Multi-Purpose Hall,598,"Damka St, Santa Mesa"
Manila,6,Likha Evacuation Center,598,"San Antonio St, Santa Mesa"
Manila,6,Don Bosco School,602,"V. Mapa, Santa Mesa"
Manila,6,Tomas Earnshaw Elementary School,897,"Mayon St, Punta Sta. Ana"
Manila,BASECO,Hermenegildo J. Atienza Elementary School,649,"Zone 68, Baseco, Port Area"
Manila,BASECO,Pres. Corazon Aquino Senior High School,649,"Baseco, Port Area"
Marikina,1,Barangka Elementary School,Barangka,General Julian Cruz St
Marikina,1,IVS Covered Court,Industrial Valley Complex,38 FVR Rd
Marikina,1,Leodegario Victorino Elementary School,Jesus Dela Peña,332 A. Bonifacio Ave
Marikina,1,Jesus Dela Peña NHS,Jesus Dela Peña ,Victorino
Marikina,1,Kalumpang Elementary School,Kalumpang,Kagitingan
Marikina,1,Kalumpang National High School,Kalumpang,M.H. Del PIlar St
Marikina,1,Malanday Elementary School,Malanday,Malaya St
Marikina,1,Filipinas Gym,Malanday,Visayas St
Marikina,1,Bulelak Gym,Malanday,Minahan St
Marikina,1,Sampaquita Gym,Malanday,Sampaguita St
Marikina,1,San Roque Elementary School,San Roque,Abad Santos
Marikina,1,San Roque National High School,San Roque,A. Leongson St
Marikina,1,Marikina Elementary School,Sta. Elena,Florencio Paz
Marikina,1,Sta. Elena High School,Sta. Elena,W.C. Paz St
Marikina,1,Sto. Niño Elementary School,Sto. Niño,Guerilla
Marikina,1,Sto. Niño National High School,Sto. Niño,Agricultores St
Marikina,1,Tañong High School,Tañong,Lopez Jaena St
Marikina,2,SSS Village Elementary School,Concepcion Dos,Sapphire St
Marikina,2,SSS National High School,Concepcion Dos,Sapphire St
Marikina,2,H. Bautista Elementary School,Concepcion Uno,J.P. Rizal St
Marikina,2,Concepcion Integrated School ES,Concepcion Uno,J.P. Rizal St
Marikina,2,Concepcion Integrated School SL,Concepcion Uno,J.P. Rizal St
Marikina,2,Concepcion Elementary School,Concepcion Uno,J.P. Rizal St
Marikina,2,PLMar (Greenheights),Concepcion Uno,"Brazil St, Greenheights Subdivision"
Marikina,2,Marikina High School,Concepcion Uno,E. Santos St
Marikina,2,Fortune Elementary School,Fortune,Santan St
Marikina,2,Fortune High School,Fortune,Santan St
Marikina,2,Kap. Moy Elementary School,Marikina Heights,Champagnat St
Marikina,2,Marikina Heights High School,Marikina Heights,Champagnat St
Marikina,2,Nangka Elementary School,Nangka,Balubad St
Marikina,2,Nangka Gym,Nangka,Balubad St
Marikina,2,St Mary Elementary School,Nangka,St Mary Subdivision
Marikina,2,Parang Elementary School,Parang,84 Padre Paterno St
Marikina,2,Parang High School,Parang,Tandang Sora St
Pasig,1,B. Tatco Covered Court,Bagong Ilog,42 B. Tatco
Pasig,1,Bagong Ilog Elementary School,Bagong Ilog,52 A Flores
Pasig,1,4/F Caniogan Barangay Hall (Roof Deck),Caniogan,Kalinangan St
Pasig,1,Kalawaan Ismar Covered Court,Kalawaan,"Purok 6, Sampaguita Rd"
Pasig,1,Kapasigan Sports Center Function Hall,Kapasigan,1D Dr. Pilapil St
Pasig,1,Malinao Covered Court,Malinao,E. Jacinto St
Pasig,1,Ugong Barangay Hall Parking Lot,Ugong,154 F. Legaspi St
Pasig,2,Karangalan Multipurpose Hall,Dela Paz,Kaginhawaan Rd
Pasig,2,Manggahan Multipurpose Hall,Manggahan,Magsaysay Ave
Pasig,2,Maybunga Elementary School Annex,Maybunga,Westbank Rd
Pasig,2,Westbank Community Center,Maybunga,Westbank Rd
Pasig,2,Stella Maris Covered Court,Maybunga,Stella Maris Main Ave
Pasig,2,Damayan Covered Court,Pinagbuhatan,Urbano Velasco Ave
Pasig,2,Bluegrass Multipurpose Hall,Rosario,Bluegrass St
Pasig,2,Rosario Elementary School,Rosario,Dr. Sixto Antonio Ave
Pasig,2,San Miguel Multipurpose Hall,San Miguel,Mercedes Ave
Pasig,2,Sta. Lucia Bliss Multipurpose Hall,Santa Lucia,Jacob St
Pasig,2,De Castro Elementary School,Santa Lucia,Everlasting St
Pasig,2,Ilaya Covered Court,Santolan,Evangelista St
Pasig,2,Our Lady of Perpetual Help School,Santolan,Mejico St
Pasig,2,Santolan Elementary School,Santolan,Evangelista St
Pasig,2,Santolan High School,Santolan,San Isidro St
Pasig,2,Sto. Tomas De Villanueva Parochial School,Santolan,Evangelista St
Quezon City,1,Alicia Barangay Hall,Alicia,02 Batangas St
Quezon City,1,Bago Bantay Elementary School Covered Court,Alicia,Fort Santiago Corner
Quezon City,1,Bagong Pag-asa Barangay Hall,Bagong Pag-asa,"Rd 11, Cor Rd 9 St"
Quezon City,1,Bahay Toro Basketball Court,Bahay Toro,Rd 11 St
Quezon City,1,Batabha Basketball Court,Bahay Toro,Rd 19 St
Quezon City,1,Toro Hills Elementary School,Bahay Toro,Rd 19 & Rd 15 St
Quezon City,1,Balingasa Basketball Covered Court,Balingasa,Balingasa St
Quezon City,1,Balingasa Elementary School,Balingasa,Balingasa Rd
Quezon City,1,Balingasa High School,Balingasa,"J, Aquino St"
Quezon City,1,Harmony St,Balingasa,Harmony St
Quezon City,1,Bungad Basketball Covered Court,Bungad,"Barangay Bungad Block 17 St"
Quezon City,1,Barangay Damar Function Hall,Damar,Damar Loop
Quezon City,1,Damar Basketball Court,Damar,Damar Loop
Quezon City,1,Damar Multi-Purpose,Damar,Damar Loop
Quezon City,1,Damayan Barangay Hall,Damayan,San Vicente St
Quezon City,1,Parish Social Hall,Damayan,San Pedro Bautista St
Quezon City,1,Congressman Reynaldo A. Calalay Memorial Elementary School,Damayan,"F, Bautista St"
Quezon City,1,Dalupan Elementary School,Del Monte,Dalupan Elementary School (Marinduque St)
Quezon City,1,Del Monte Barangay Hall,Del Monte,Barangay Hall (Osmeña St)
Quezon City,1,"Del Monte, San Francisco Elementary School",Del Monte,Del Monte Ave.
Quezon City,1,Barangay Katipunan Youth Center,Katipunan,San Antonio St
Quezon City,1,Katipunan Barangay Hall,Katipunan,San Antonio St
Quezon City,1,Katipunan Covered Court,Katipunan,San Antonio St
Quezon City,1,San Antonio Elementary School,Katipunan,San Antonio St
Quezon City,1,Lourdes Covered Court,Lourdes,Basketball Covered Court
Quezon City,1,Lourdes School,Maharlika,N.S Amoranto Ave Apo St
Quezon City,1,Maharlika Barangay Hall,Maharlika,246 Apo St
Quezon City,1,Maharlika SK Hall,Maharlika,37 Del monte Ave
Quezon City,1,Puregold Parking Space,Maharlika,Del Monte corner Kanlaon St
Quezon City,1,Quincy Supermarket,Maharlika,D. Tuazon near corner N.S Amoranto Ave
Quezon City,1,Manresa Barangay Hall,Manresa,Makaturing St
Quezon City,1,Mariblo Barangay Hall,Mariblo,3rd Floor Barangay Hall Mariblo
Quezon City,1,Mariblo Day care Center,Mariblo,Day Care Center (Bernardo St)
